name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
integrations-core,https://github.com/DataDog/integrations-core,Python,62,0,415,2,45.4,534,660,573,1.1,149,0.65635
PySyft,https://github.com/OpenMined/PySyft,Python,42,0,331,4,19.1,16,817,644,1.1,272,0.65633
warehouse,https://github.com/pypa/warehouse,Python,94,0,285,9,14.6,0,363,290,1.3,538,0.65574
CSrankings,https://github.com/emeryberger/CSrankings,Python,57,0,909,9,20.2,0,291,266,0.7,297,0.65527
tempest,https://github.com/openstack/tempest,Python,114,0,875,5,5.1,4,2,2,0.0,37937,0.65523
satpy,https://github.com/pytroll/satpy,Python,128,0,102,9,29.2,6,160,94,3.7,53,0.65515
content,https://github.com/ComplianceAsCode/content,Python,116,0,217,4,49.7,6,622,453,2.1,62,0.65511
marshmallow,https://github.com/marshmallow-code/marshmallow,Python,87,0,184,7,2.6,22,59,39,1.5,1292,0.65495
jinja,https://github.com/pallets/jinja,Python,168,0,263,8,2.3,3,1232,1216,0.0,1572,0.65476
python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,Python,67,0,152,7,3.5,12,200,172,1.9,871,0.65469
trezor-firmware,https://github.com/trezor/trezor-firmware,Python,99,0,225,9,23.2,15,210,132,1.6,34,0.65446
plotly.py,https://github.com/plotly/plotly.py,Python,86,0,158,3,17.8,18,306,136,1.8,681,0.65433
cobbler,https://github.com/cobbler/cobbler,Python,179,0,333,6,5.2,3,360,186,1.2,593,0.65424
Telethon,https://github.com/LonamiWebs/Telethon,Python,53,0,123,5,4.7,28,141,112,2.1,1550,0.654
allennlp,https://github.com/allenai/allennlp,Python,44,0,231,6,12.5,17,296,235,1.8,231,0.65364
supervisor,https://github.com/Supervisor/supervisor,Python,177,0,150,8,0.8,3,49,30,1.2,13558,0.6536
psycopg2,https://github.com/psycopg/psycopg2,Python,197,0,111,8,1.7,5,85,74,2.4,2000,0.6535
sabnzbd,https://github.com/sabnzbd/sabnzbd,Python,161,0,80,4,9.9,22,118,101,3.7,406,0.653
calibre,https://github.com/kovidgoyal/calibre,Python,172,0,288,2,46.2,35,84,83,1.1,390,0.65233
liberapay.com,https://github.com/liberapay/liberapay.com,Python,110,0,493,8,24.2,63,70,34,1.0,28,0.65223
pyinstaller,https://github.com/pyinstaller/pyinstaller,Python,187,2,387,4,8.6,3,426,312,2.5,791,0.65194
dagster,https://github.com/dagster-io/dagster,Python,32,0,107,5,63.2,56,870,338,0.7,434,0.65116
hummingbot,https://github.com/CoinAlpha/hummingbot,Python,21,0,93,3,45.4,18,556,369,0.9,4673,0.6505
tvm,https://github.com/apache/tvm,Python,51,0,472,8,35.1,2,761,648,2.1,22,0.65034
pytube,https://github.com/nficano/pytube,Python,107,0,80,7,7.0,5,246,236,3.8,295,0.65007
zero-to-jupyterhub-k8s,https://github.com/jupyterhub/zero-to-jupyterhub-k8s,Python,51,0,174,9,10.9,9,588,507,1.5,136,0.65003
CppCoreGuidelines,https://github.com/isocpp/CppCoreGuidelines,Python,65,0,300,8,1.9,1,65,27,2.7,3033,0.64997
pydantic,https://github.com/samuelcolvin/pydantic,Python,44,0,176,8,4.9,9,433,261,2.2,342,0.64993
qiskit-terra,https://github.com/Qiskit/qiskit-terra,Python,46,0,259,4,23.7,11,625,405,1.4,273,0.64973
kombu,https://github.com/celery/kombu,Python,128,0,294,8,2.5,3,51,30,1.8,1044,0.64797
keystone,https://github.com/openstack/keystone,Python,118,2,677,4,1.8,18,1,1,1.0,37706,0.64736
bips,https://github.com/bitcoin/bips,Python,112,0,278,4,4.0,0,97,50,2.8,5328,0.64723
networkx,https://github.com/networkx/networkx,Python,188,0,483,3,6.6,2,386,282,2.0,444,0.64669
yt-dlc,https://github.com/blackjack4494/yt-dlc,Python,151,1,943,4,12.6,6,291,172,4.0,21,0.64653
django-allauth,https://github.com/pennersr/django-allauth,Python,124,1,523,8,2.5,5,227,144,1.0,474,0.64652
virtualenv,https://github.com/pypa/virtualenv,Python,119,0,44,9,5.7,2,113,92,2.6,2497,0.64621
maltrail,https://github.com/stamparm/maltrail,Python,74,0,28,4,393.7,9,2178,2172,0.1,615,0.64617
sqlmap,https://github.com/sqlmapproject/sqlmap,Python,149,0,102,5,7.1,1,153,151,1.1,9132,0.64607
