name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
distributions,https://github.com/nodesource/distributions,Shell,78,1,69,8,0.8,0,79,65,1.1,408,0.52387
wordpress,https://github.com/docker-library/wordpress,Shell,80,0,31,7,0.4,0,39,31,2.1,609,0.52371
spaceship-prompt,https://github.com/denysdovhan/spaceship-prompt,Shell,60,1,114,8,0.3,11,63,29,0.7,73,0.52344
voidrice,https://github.com/LukeSmithxyz/voidrice,Shell,43,0,119,2,7.8,0,70,62,1.2,629,0.52311
documentation,https://github.com/kata-containers/documentation,Shell,37,0,68,5,1.3,18,57,41,1.4,50,0.52235
docker-magento,https://github.com/markshust/docker-magento,Shell,64,1,32,9,2.5,14,65,40,2.2,19,0.52228
bitnami-docker-nginx,https://github.com/bitnami/bitnami-docker-nginx,Shell,68,0,29,7,12.9,386,7,5,2.3,9,0.52217
devstack,https://github.com/edx/devstack,Shell,49,0,99,3,3.3,5,73,63,1.1,106,0.52174
hassio-zigbee2mqtt,https://github.com/danielwelch/hassio-zigbee2mqtt,Shell,32,1,38,6,1.9,7,102,85,3.9,49,0.52104
papirus-icon-theme,https://github.com/PapirusDevelopmentTeam/papirus-icon-theme,Shell,56,0,82,0,18.0,12,111,94,1.5,272,0.52067
mutt-wizard,https://github.com/LukeSmithxyz/mutt-wizard,Shell,35,0,184,4,2.7,0,82,70,1.3,162,0.52
docker-minecraft-server,https://github.com/itzg/docker-minecraft-server,Shell,80,0,106,3,3.7,10,82,52,3.0,4,0.51967
kerl,https://github.com/kerl/kerl,Shell,119,0,67,8,0.5,2,9,5,1.8,79,0.51886
nanorc,https://github.com/scopatz/nanorc,Shell,127,0,134,5,1.2,2,22,9,1.0,74,0.51848
bitnami-docker-redis,https://github.com/bitnami/bitnami-docker-redis,Shell,68,0,39,6,15.7,586,15,11,2.6,2,0.51837
catalog,https://github.com/tektoncd/catalog,Shell,20,0,87,4,9.8,0,128,82,3.3,60,0.51754
boot2docker,https://github.com/boot2docker/boot2docker,Shell,86,6,147,11,0.1,1,5,3,1.8,819,0.51745
makeself,https://github.com/megastep/makeself,Shell,255,0,65,7,1.0,1,20,17,1.8,57,0.51707
platform-install-packages,https://github.com/kaltura/platform-install-packages,Shell,85,2,47,4,3.9,9,14,11,0.8,779,0.5166
dockerfiles,https://github.com/invoiceninja/dockerfiles,Shell,64,0,27,8,1.6,56,45,32,1.8,11,0.51619
docker-nginx,https://github.com/nginxinc/docker-nginx,Shell,76,0,25,7,0.9,1,58,42,2.0,179,0.51576
wine-tkg-git,https://github.com/Frogging-Family/wine-tkg-git,Shell,9,0,12,3,14.1,22,111,80,3.7,147,0.51575
