name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
foreman,https://github.com/theforeman/foreman,Ruby,139,0,419,5,13.4,19,294,224,3.6,464,0.72287
spec,https://github.com/ruby/spec,Ruby,154,0,505,9,13.7,1,33,31,2.8,5802,0.7211
consul,https://github.com/consul/consul,Ruby,66,0,125,6,10.3,2,180,129,0.7,511059,0.72045
faker,https://github.com/faker-ruby/faker,Ruby,159,0,802,8,5.6,8,118,92,1.1,2822,0.71983
webpacker,https://github.com/rails/webpacker,Ruby,49,0,403,10,3.5,14,195,129,1.4,6758,0.71869
chef,https://github.com/chef/chef,Ruby,156,0,896,3,56.3,1,409,311,0.8,5687,0.71598
solidus,https://github.com/solidusio/solidus,Ruby,156,0,980,6,8.2,12,168,102,1.2,1220,0.71532
truffleruby,https://github.com/oracle/truffleruby,Ruby,235,0,441,6,61.5,8,140,86,3.2,221,0.71381
rspec-rails,https://github.com/rspec/rspec-rails,Ruby,134,0,340,6,3.2,12,58,43,3.2,5016,0.71241
capybara,https://github.com/teamcapybara/capybara,Ruby,136,1,362,10,2.8,13,37,30,2.1,9238,0.71153
cucumber-ruby,https://github.com/cucumber/cucumber-ruby,Ruby,155,0,431,11,8.5,20,40,32,1.6,1069,0.71102
activeadmin,https://github.com/activeadmin/activeadmin,Ruby,130,0,730,11,11.1,5,205,169,1.1,532,0.70823
loomio,https://github.com/loomio/loomio,Ruby,111,0,119,7,43.8,27,279,256,0.5,2445,0.70794
webmock,https://github.com/bblimke/webmock,Ruby,136,0,237,11,1.0,12,19,14,3.9,5133,0.70407
openfoodnetwork,https://github.com/openfoodfoundation/openfoodnetwork,Ruby,107,0,166,2,65.3,57,695,440,2.5,866,0.70211
google-cloud-ruby,https://github.com/googleapis/google-cloud-ruby,Ruby,80,0,128,5,60.9,1014,684,619,0.6,1640,0.70122
ffi,https://github.com/ffi/ffi,Ruby,150,0,128,10,3.7,8,63,44,2.3,7321,0.70035
fluentd,https://github.com/fluent/fluentd,Ruby,116,0,231,7,7.8,24,203,96,1.5,1084,0.69632
open-build-service,https://github.com/openSUSE/open-build-service,Ruby,181,0,248,6,33.3,9,454,353,1.8,311,0.6963
sorbet,https://github.com/sorbet/sorbet,Ruby,39,0,226,4,19.4,958,617,483,1.1,3839,0.69604
plots2,https://github.com/publiclab/plots2,Ruby,100,0,755,4,15.9,1,993,554,3.4,321,0.69351
sequel,https://github.com/jeremyevans/sequel,Ruby,168,0,350,8,4.0,12,26,26,2.8,1454,0.6933
diaspora,https://github.com/diaspora/diaspora,Ruby,128,1,527,7,3.1,2,55,31,1.5,25686,0.69217
rubocop-rspec,https://github.com/rubocop-hq/rubocop-rspec,Ruby,84,0,104,13,4.2,15,121,84,2.7,2141,0.68965
google-api-ruby-client,https://github.com/googleapis/google-api-ruby-client,Ruby,127,0,131,8,21.5,6,1259,1232,0.2,1626,0.68687
doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,Ruby,111,0,271,10,2.5,14,32,23,1.6,2618,0.68569
rspec-core,https://github.com/rspec/rspec-core,Ruby,140,0,350,6,2.1,13,70,57,1.9,2410,0.68369
whitehall,https://github.com/alphagov/whitehall,Ruby,113,0,262,7,18.0,1000,100,95,0.6,614,0.67959
shoulda-matchers,https://github.com/thoughtbot/shoulda-matchers,Ruby,168,0,281,10,1.6,3,49,32,3.3,1514,0.67653
grape,https://github.com/ruby-grape/grape,Ruby,127,1,423,8,2.2,6,51,36,3.2,1589,0.6754
opal,https://github.com/opal/opal,Ruby,142,0,113,9,1.8,3,43,24,2.2,14483,0.67324
mongoid,https://github.com/mongodb/mongoid,Ruby,138,0,521,9,3.9,16,62,60,1.3,241,0.67188
graphql-ruby,https://github.com/rmosolgo/graphql-ruby,Ruby,72,0,382,7,12.8,3,126,94,1.9,811,0.67124
homebrew-cask-versions,https://github.com/Homebrew/homebrew-cask-versions,Ruby,87,0,992,4,36.6,15,969,969,0.1,93,0.67118
mongo-ruby-driver,https://github.com/mongodb/mongo-ruby-driver,Ruby,147,0,186,10,9.9,18,58,57,0.8,575,0.66815
logstash,https://github.com/elastic/logstash,Ruby,139,1,543,3,6.1,21,348,211,1.1,1250,0.668
katello,https://github.com/Katello/katello,Ruby,116,0,173,4,9.7,15,150,127,3.8,312,0.66591
rake,https://github.com/ruby/rake,Ruby,217,0,191,11,0.3,6,19,6,1.1,22281,0.66486
inspec,https://github.com/inspec/inspec,Ruby,70,0,333,7,11.8,23,428,170,1.1,118,0.66181
forem,https://github.com/forem/forem,Ruby,50,0,557,5,81.4,0,2252,1798,1.7,86,0.6615
devise,https://github.com/heartcombo/devise,Ruby,137,1,672,9,1.1,12,57,28,1.4,813,0.66053
rspec-expectations,https://github.com/rspec/rspec-expectations,Ruby,140,0,169,7,1.7,10,47,38,2.3,1835,0.65871
bosh,https://github.com/cloudfoundry/bosh,Ruby,126,1,761,9,2.5,5,15,3,1.2,3353,0.65798
simplecov,https://github.com/simplecov-ruby/simplecov,Ruby,126,0,191,9,3.8,12,34,27,1.8,727,0.65777
listen,https://github.com/guard/listen,Ruby,109,0,82,9,2.2,6,69,60,1.8,3756,0.6539
middleman,https://github.com/middleman/middleman,Ruby,139,0,219,9,1.7,25,44,36,0.6,1255,0.6538
fog,https://github.com/fog/fog,Ruby,141,9,936,12,0.0,15,4,2,2.2,11759,0.65344
elasticsearch-ruby,https://github.com/elastic/elasticsearch-ruby,Ruby,93,0,140,6,7.5,17,119,100,0.5,2348,0.65298
sinatra,https://github.com/sinatra/sinatra,Ruby,162,1,462,5,1.4,10,40,21,1.8,3435,0.65249
sentry-ruby,https://github.com/getsentry/sentry-ruby,Ruby,106,0,196,10,6.4,30,193,156,0.9,99,0.65224
asciidoctor,https://github.com/asciidoctor/asciidoctor,Ruby,104,0,142,7,4.2,2,174,119,1.7,2304,0.65069
parallel_tests,https://github.com/grosser/parallel_tests,Ruby,141,1,164,11,0.8,19,14,10,3.3,1391,0.64977
LicenseFinder,https://github.com/pivotal/LicenseFinder,Ruby,122,0,213,6,5.6,16,33,19,2.5,379,0.64877
rails_admin,https://github.com/sferik/rails_admin,Ruby,127,1,475,10,0.4,5,40,17,1.1,3281,0.64858
rouge,https://github.com/rouge-ruby/rouge,Ruby,101,1,363,8,3.3,12,113,56,0.8,1070,0.64845
danger,https://github.com/danger/danger,Ruby,64,1,203,10,3.5,14,27,20,1.7,2071,0.64702
zammad,https://github.com/zammad/zammad,Ruby,106,0,86,7,9.4,7,258,158,1.2,935,0.64653
activerecord-jdbc-adapter,https://github.com/jruby/activerecord-jdbc-adapter,Ruby,175,0,179,8,1.2,14,11,10,3.0,966,0.64647
excon,https://github.com/excon/excon,Ruby,136,0,168,9,0.6,18,7,7,1.9,2389,0.64627
