index,name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
1086,NSwag,https://github.com/RicoSuter/NSwag,C#,3994,65,1,195,7,3.3,26,220,73,2.1,318,0.63566
755,telegraf,https://github.com/telegraf/telegraf,TypeScript,4060,58,0,115,4,3.3,33,280,263,2.1,645,0.63545
955,boulder,https://github.com/letsencrypt/boulder,Go,3654,74,0,105,5,6.4,25,121,84,0.9,1322,0.63486
339,qunit,https://github.com/qunitjs/qunit,JavaScript,3860,154,0,169,12,2.3,8,81,51,1.1,429,0.63465
947,shiny,https://github.com/rstudio/shiny,R,4091,104,0,63,6,14.4,7,203,151,1.3,777,0.63433
1224,danger,https://github.com/danger/danger,Ruby,4288,64,2,203,10,3.5,14,24,16,1.6,2113,0.63358
1269,NetNewsWire,https://github.com/Ranchero-Software/NetNewsWire,Swift,4089,44,0,64,8,39.9,17,300,230,1.6,109,0.63311
464,WeasyPrint,https://github.com/Kozea/WeasyPrint,Python,4033,118,0,101,7,8.6,3,104,68,1.5,924,0.63301
211,rippled,https://github.com/ripple/rippled,C++,3604,112,1,104,6,4.8,2,217,107,1.4,4904,0.63159
720,release-it,https://github.com/release-it/release-it,JavaScript,3716,85,0,59,9,5.0,60,22,17,2.1,676,0.63117
489,active_merchant,https://github.com/activemerchant/active_merchant,Ruby,4266,169,0,655,4,6.2,11,87,65,0.3,376,0.63112
1221,kinto,https://github.com/Kinto/kinto,Python,4044,74,0,122,8,5.4,8,86,64,1.0,1024,0.63087
804,bento,https://github.com/chef/bento,Shell,3563,108,0,186,10,4.2,3,36,29,1.4,613,0.63075
1196,torrent,https://github.com/anacrolix/torrent,Go,3739,104,0,63,7,5.8,4,45,29,2.0,2706,0.63071
249,Swashbuckle.AspNetCore,https://github.com/domaindrivendev/Swashbuckle.AspNetCore,C#,3630,71,0,165,6,3.3,8,167,85,1.3,958,0.63026
1484,cssnano,https://github.com/cssnano/cssnano,CSS,3665,70,0,84,9,0.8,13,40,16,3.3,1105,0.63015
137,serverless-offline,https://github.com/dherault/serverless-offline,JavaScript,3868,60,1,222,7,4.5,24,80,24,1.4,731,0.62971
684,draft-js-plugins,https://github.com/draft-js-plugins/draft-js-plugins,TypeScript,3674,59,0,192,8,3.7,34,252,240,0.8,149,0.62968
1071,wiremock,https://github.com/tomakehurst/wiremock,Java,4243,113,0,167,6,4.0,10,44,13,1.4,1006,0.62906
1198,danger-js,https://github.com/danger/danger-js,TypeScript,3665,53,0,171,7,3.1,17,33,21,1.7,913,0.62779
1146,proxysql,https://github.com/sysown/proxysql,C++,4192,74,0,109,8,11.0,8,248,172,0.9,290,0.62775
1209,tutanota,https://github.com/tutao/tutanota,JavaScript,3679,92,0,61,4,14.5,30,391,270,1.1,379,0.62759
581,mini-css-extract-plugin,https://github.com/webpack-contrib/mini-css-extract-plugin,JavaScript,4137,35,1,56,8,1.4,16,128,99,2.7,4437,0.62734
126,reach-ui,https://github.com/reach/reach-ui,TypeScript,3789,30,0,124,8,10.5,24,66,38,1.9,301,0.62638
