name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
cordova-plugin-device,https://github.com/apache/cordova-plugin-device,JavaScript,"License(name=""Apache License 2.0"")",325,95,2,69,10,0.2,7,6,2,1.2,248,0.51366
terraform-provider-alicloud,https://github.com/aliyun/terraform-provider-alicloud,Go,"License(name=""Mozilla Public License 2.0"")",326,49,0,177,2,19.1,25,348,255,0.2,3,0.51359
SkyFire_548,https://github.com/ProjectSkyfire/SkyFire_548,C++,"License(name=""GNU General Public License v2.0"")",326,150,0,509,1,6.2,1,18,15,0.6,108,0.51341
HttplugBundle,https://github.com/php-http/HttplugBundle,PHP,"License(name=""MIT License"")",327,66,1,41,12,0.2,3,2,2,8.5,42,0.51303
libpinyin,https://github.com/libpinyin/libpinyin,C++,"License(name=""GNU General Public License v3.0"")",331,128,1,16,8,1.0,3,16,10,3.6,136,0.51236
ezdxf,https://github.com/mozman/ezdxf,Python,"License(name=""MIT License"")",335,120,0,19,3,30.7,7,34,29,2.4,13,0.51168
db-scheduler,https://github.com/kagkarlsson/db-scheduler,Java,,330,66,0,22,7,2.4,12,25,20,2.6,20,0.51088
libatomic_ops,https://github.com/ivmai/libatomic_ops,C,"License(name=""GNU General Public License v2.0"")",324,116,0,34,6,0.6,4,1,1,1.0,1015,0.51037
katrain,https://github.com/sanderland/katrain,Python,"License(name=""Other"")",325,14,0,21,3,16.5,20,128,110,2.3,47,0.50908
django-celery-results,https://github.com/celery/django-celery-results,Python,"License(name=""Other"")",329,54,0,33,10,0.6,3,32,20,2.6,33,0.50887
datawave,https://github.com/NationalSecurityAgency/datawave,Java,"License(name=""Apache License 2.0"")",331,37,0,43,3,6.3,109,121,73,0.6,52,0.5085
GitTrends,https://github.com/brminnick/GitTrends,C#,"License(name=""MIT License"")",336,21,0,17,5,19.2,32,53,46,0.5,102,0.50804
asymptote,https://github.com/vectorgraphics/asymptote,C,"License(name=""Other"")",332,198,1,27,3,5.3,27,23,17,1.2,91,0.50732
bazel-buildfarm,https://github.com/bazelbuild/bazel-buildfarm,Java,"License(name=""Apache License 2.0"")",334,44,0,41,9,3.9,6,105,81,1.2,8,0.50689
