name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
tty,https://github.com/piotrmurach/tty,Ruby,2233,101,1,20,10,1.3,3,2,2,0.5,3323,0.51491
susi_server,https://github.com/fossasia/susi_server,Java,2206,71,4,153,12,1.5,0,1,0,3.0,559,0.5149
rest.li,https://github.com/linkedin/rest.li,Java,2113,101,0,160,2,4.8,91,69,55,0.6,9,0.51486
bitcoin-wallet,https://github.com/bitcoin-wallet/bitcoin-wallet,Java,2239,120,1,33,3,5.6,39,33,23,1.5,56,0.51471
react-tabs,https://github.com/reactjs/react-tabs,JavaScript,2280,79,0,64,10,0.8,2,34,23,0.8,57,0.51433
fsharp,https://github.com/fsharp/fsharp,F#,2172,123,3,207,6,0.0,14,1,0,0.0,1704,0.51311
pgbadger,https://github.com/darold/pgbadger,Perl,2179,107,2,67,5,1.2,3,22,18,3.2,82,0.51267
react-number-format,https://github.com/s-yadav/react-number-format,JavaScript,2193,58,0,52,7,0.7,2,73,37,1.7,64,0.51222
openapi-directory,https://github.com/APIs-guru/openapi-directory,JavaScript,2224,72,0,23,9,10.3,0,56,46,1.9,36,0.51174
navigo,https://github.com/krasimir/navigo,TypeScript,2196,64,0,25,8,2.2,8,74,72,1.1,30,0.51174
django-bootstrap3,https://github.com/zostera/django-bootstrap3,Python,2222,90,2,97,11,0.4,13,8,7,1.2,42,0.51128
amber,https://github.com/amberframework/amber,Crystal,2153,49,1,97,11,0.8,4,16,15,1.2,68,0.5101
react-native-swipe-list-view,https://github.com/jemise111/react-native-swipe-list-view,JavaScript,2278,58,3,67,9,1.7,15,53,39,1.5,22,0.51008
Archery,https://github.com/hhyo/Archery,Python,2216,50,0,56,2,3.4,10,119,90,2.6,29,0.50963
sftpgo,https://github.com/drakkan/sftpgo,Go,2182,18,0,29,7,8.2,8,89,84,5.2,3,0.50925
nmslib,https://github.com/nmslib/nmslib,C++,2250,91,0,44,7,1.6,1,17,12,5.1,13,0.50848
inotify-tools,https://github.com/inotify-tools/inotify-tools,C,2177,136,0,29,6,1.1,4,9,7,3.3,43,0.50845
android-database-sqlcipher,https://github.com/sqlcipher/android-database-sqlcipher,Java,2212,121,0,23,7,0.4,4,19,15,4.1,23,0.50787
k3os,https://github.com/rancher/k3os,Go,2204,23,0,59,7,1.9,28,98,48,1.0,14,0.50663
LIEF,https://github.com/lief-project/LIEF,C++,2155,47,0,56,4,3.2,3,57,41,2.1,47,0.50608
mage,https://github.com/magefile/mage,Go,2271,40,0,51,7,0.3,2,25,16,2.0,156,0.5057
ESP8266_RTOS_SDK,https://github.com/espressif/ESP8266_RTOS_SDK,C,2206,74,0,38,2,4.0,2,69,12,1.3,609,0.50543
bee-queue,https://github.com/bee-queue/bee-queue,JavaScript,2143,73,0,32,7,1.7,3,127,98,1.3,25,0.50486
aws-cf-templates,https://github.com/widdix/aws-cf-templates,Java,2116,63,1,30,6,2.7,24,30,24,1.0,61,0.50445
mailcore2,https://github.com/MailCore/mailcore2,C++,2251,97,1,119,6,0.2,1,21,9,2.0,90,0.50342
pgmodeler,https://github.com/pgmodeler/pgmodeler,C++,2163,102,0,32,2,6.1,1,51,27,1.9,232,0.50316
desktop,https://github.com/bitwarden/desktop,TypeScript,2155,49,0,46,2,5.5,13,98,64,1.3,53,0.50264
include-what-you-use,https://github.com/include-what-you-use/include-what-you-use,C++,2130,121,1,56,4,1.3,2,60,41,2.0,71,0.50259
gitgraph.js,https://github.com/nicoespeon/gitgraph.js,TypeScript,2250,90,2,50,9,0.9,19,20,8,1.9,16,0.50187
TelegramBots,https://github.com/rubenlagus/TelegramBots,Java,2177,61,2,89,4,1.7,7,61,43,1.1,108,0.50183
phimpme-android,https://github.com/fossasia/phimpme-android,Java,2225,102,3,92,7,1.2,1,62,38,1.2,91,0.50117
keepass2android,https://github.com/PhilippC/keepass2android,Java,2263,96,0,35,1,7.7,3,153,62,2.1,99,0.50079
libPhoneNumber-iOS,https://github.com/iziz/libPhoneNumber-iOS,Objective-C,2186,84,0,65,6,2.4,4,20,5,0.9,49,0.50054
dotnet,https://github.com/MiniProfiler/dotnet,C#,2207,118,3,165,10,1.1,1,7,4,1.7,38,0.50042
alpine-node,https://github.com/mhart/alpine-node,Dockerfile,2248,70,0,5,3,1.6,198,4,4,2.8,1014,0.50018
analytics-zoo,https://github.com/intel-analytics/analytics-zoo,Jupyter Notebook,2173,45,0,81,2,18.2,4,440,323,1.4,5,0.49985
Omni-Notes,https://github.com/federicoiosue/Omni-Notes,Java,2203,88,0,34,2,2.5,18,48,15,1.1,120,0.49962
