name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
JCTools,https://github.com/JCTools/JCTools,Java,"License(name=""Apache License 2.0"")",2556,87,0,44,9,0.9,2,19,17,1.8,196,0.53758
twitter,https://github.com/sixohsix/twitter,Python,"License(name=""MIT License"")",2524,156,2,87,6,0.4,4,21,15,2.2,310,0.53708
db,https://github.com/upper/db,Go,"License(name=""MIT License"")",2440,105,0,32,9,2.0,4,30,21,1.1,116,0.53333
dkron,https://github.com/distribworks/dkron,Go,"License(name=""Other"")",2531,69,0,56,6,4.4,19,80,65,1.3,11,0.53275
live-share,https://github.com/MicrosoftDocs/live-share,Shell,"License(name=""Other"")",1723,41,0,58,2,0.8,17,710,347,1.1,201,0.53226
model-viewer,https://github.com/google/model-viewer,TypeScript,"License(name=""Apache License 2.0"")",2481,32,0,44,5,6.9,7,225,127,1.9,35,0.53153
client_side_validations,https://github.com/DavyJonesLocker/client_side_validations,Ruby,"License(name=""MIT License"")",2535,121,0,67,8,2.0,9,9,8,1.1,37,0.5296
MoreLINQ,https://github.com/morelinq/MoreLINQ,C#,"License(name=""Apache License 2.0"")",2445,147,0,39,6,1.0,5,35,26,1.5,104,0.52865
devdocs,https://github.com/freeCodeCamp/devdocs,Ruby,"License(name=""Other"")",24704,88,0,159,7,5.1,0,268,217,0.8,10,0.52689
bjoern,https://github.com/jonashaag/bjoern,C,"License(name=""Other"")",2488,132,1,40,6,0.2,2,17,8,3.4,388,0.52635
derailed_benchmarks,https://github.com/schneems/derailed_benchmarks,Ruby,404-NotFound,2486,76,0,52,11,0.9,4,5,5,0.6,410,0.52615
h3,https://github.com/uber/h3,C,"License(name=""Apache License 2.0"")",2579,37,0,41,8,3.1,4,21,12,2.4,95,0.52587
rabbitmq-tutorials,https://github.com/rabbitmq/rabbitmq-tutorials,Java,"License(name=""Apache License 2.0"")",5141,126,0,115,4,0.5,0,7,7,3.6,220,0.5251
PJON,https://github.com/gioblu/PJON,C++,"License(name=""Other"")",2468,75,0,47,3,6.3,2,18,11,2.1,330,0.5242
Virtualization-Documentation,https://github.com/MicrosoftDocs/Virtualization-Documentation,PowerShell,"License(name=""Other"")",1337,76,0,367,2,4.5,0,49,11,0.8,300,0.52415
docsearch,https://github.com/algolia/docsearch,JavaScript,"License(name=""MIT License"")",1653,63,5,63,10,0.4,4,34,13,0.7,1617,0.52285
HTMLHint,https://github.com/htmlhint/HTMLHint,JavaScript,"License(name=""MIT License"")",2532,96,2,47,8,1.9,8,77,52,1.2,59,0.52174
qiskit-tutorials,https://github.com/Qiskit/qiskit-tutorials,Jupyter Notebook,"License(name=""Apache License 2.0"")",1449,42,0,154,3,5.1,3,70,57,1.2,61,0.52008
n2n,https://github.com/ntop/n2n,C,"License(name=""GNU General Public License v3.0"")",2511,52,0,41,5,8.6,2,179,136,1.5,34,0.51915
form,https://github.com/react-component/form,JavaScript,"License(name=""MIT License"")",1662,62,1,38,9,0.1,19,37,29,0.9,132,0.51744
v2,https://github.com/miniflux/v2,Go,"License(name=""Apache License 2.0"")",2530,38,0,97,4,4.1,8,173,123,1.1,19,0.51657
django-taggit,https://github.com/jazzband/django-taggit,Python,"License(name=""Other"")",2540,138,1,119,7,0.4,5,16,2,0.8,165,0.51639
mlcourse.ai,https://github.com/Yorko/mlcourse.ai,Python,"License(name=""Other"")",7391,47,0,220,4,0.5,0,4,4,0.5,3413,0.51527
asmjit,https://github.com/asmjit/asmjit,C++,"License(name=""zlib License"")",2543,85,0,32,8,1.2,0,14,10,4.6,81,0.51447
mrjob,https://github.com/Yelp/mrjob,Python,"License(name=""Other"")",2525,125,2,142,7,4.2,6,1,0,1.0,129,0.5141
simple-statistics,https://github.com/simple-statistics/simple-statistics,JavaScript,"License(name=""ISC License"")",2501,109,0,49,6,1.6,6,36,29,0.5,73,0.51266
miniaudio,https://github.com/mackron/miniaudio,C,"License(name=""Other"")",1339,52,0,27,5,17.2,0,72,59,3.3,34,0.51032
babel-plugin-import,https://github.com/ant-design/babel-plugin-import,JavaScript,404-NotFound,2555,63,2,42,8,0.5,4,65,53,1.5,173,0.51028
CMB2,https://github.com/CMB2/CMB2,PHP,"License(name=""GNU General Public License v3.0"")",2516,120,0,129,4,0.4,1,50,11,2.1,44,0.50976
open_model_zoo,https://github.com/openvinotoolkit/open_model_zoo,Python,"License(name=""Apache License 2.0"")",2440,27,1,116,2,50.7,6,468,414,1.2,8,0.50908
nuka-carousel,https://github.com/FormidableLabs/nuka-carousel,JavaScript,"License(name=""Other"")",2458,70,1,111,5,1.7,12,48,39,0.5,51,0.50892
commandline,https://github.com/commandlineparser/commandline,C#,"License(name=""MIT License"")",2536,106,5,93,7,1.2,6,46,5,0.9,186,0.50636
change-case,https://github.com/blakeembrey/change-case,TypeScript,"License(name=""MIT License"")",1305,94,1,14,6,1.0,14,20,16,0.8,620,0.50598
metrics-server,https://github.com/kubernetes-sigs/metrics-server,Go,"License(name=""Apache License 2.0"")",2487,44,1,73,5,2.6,3,116,87,3.1,15,0.50314
confluent-kafka-go,https://github.com/confluentinc/confluent-kafka-go,Go,"License(name=""Apache License 2.0"")",2456,55,0,38,5,0.9,3,69,36,2.3,63,0.50305
core,https://github.com/php-telegram-bot/core,PHP,"License(name=""Other"")",2457,68,1,52,6,1.5,6,44,39,2.2,23,0.50046
zh.javascript.info,https://github.com/javascript-tutorial/zh.javascript.info,HTML,"License(name=""Other"")",4007,76,0,332,4,12.5,0,57,49,1.0,3,0.49962
discourse_docker,https://github.com/discourse/discourse_docker,Shell,"License(name=""MIT License"")",1284,88,0,114,3,1.7,0,34,33,0.9,213,0.49848
JUCE,https://github.com/juce-framework/JUCE,C++,"License(name=""Other"")",2586,166,0,38,4,15.3,10,65,27,0.8,5,0.49716
swarmkit,https://github.com/docker/swarmkit,Go,"License(name=""Apache License 2.0"")",2527,60,6,121,6,0.1,1,22,12,0.8,1985,0.49576
klipse,https://github.com/viebel/klipse,Clojure,"License(name=""GNU General Public License v3.0"")",2503,63,1,28,10,0.8,7,10,3,1.6,121,0.49563
DetectionLab,https://github.com/clong/DetectionLab,HTML,"License(name=""MIT License"")",2551,46,0,42,6,5.2,0,160,157,1.2,41,0.49543
tinyproxy,https://github.com/tinyproxy/tinyproxy,C,"License(name=""GNU General Public License v2.0"")",2468,255,3,39,5,2.2,1,20,10,3.0,179,0.49516
mmenu-js,https://github.com/FrDH/mmenu-js,TypeScript,"License(name=""Other"")",2447,88,0,31,8,1.2,23,30,21,1.4,4,0.49487
terraform-docs,https://github.com/terraform-docs/terraform-docs,Go,"License(name=""MIT License"")",1770,56,0,39,7,3.1,9,33,21,1.2,12,0.49338
Vulkan-Docs,https://github.com/KhronosGroup/Vulkan-Docs,JavaScript,"License(name=""Other"")",1835,60,0,50,5,2.2,38,98,61,2.6,0,0.49059
tablesaw,https://github.com/jtablesaw/tablesaw,Java,"License(name=""Apache License 2.0"")",2442,62,0,61,6,1.5,4,23,9,1.0,40,0.4893
wdt,https://github.com/facebook/wdt,C++,"License(name=""Other"")",2558,79,1,69,4,0.4,2,27,25,1.3,212,0.48915
websocket-client,https://github.com/websocket-client/websocket-client,Python,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",2453,122,13,168,6,0.0,6,22,4,0.6,453,0.48724
interactive-tutorials,https://github.com/ronreiter/interactive-tutorials,Python,"License(name=""Apache License 2.0"")",1999,88,0,277,6,1.6,0,27,21,0.4,16,0.48676
panicparse,https://github.com/maruel/panicparse,Go,"License(name=""Apache License 2.0"")",2497,72,1,8,5,3.2,7,7,7,4.0,162,0.48675
plan9port,https://github.com/9fans/plan9port,C,"License(name=""Other"")",1045,165,0,116,4,2.0,0,26,11,0.7,73,0.48649
nuclei,https://github.com/projectdiscovery/nuclei,Go,"License(name=""MIT License"")",2567,10,1,27,5,10.7,18,131,97,1.3,43,0.4848
book,https://github.com/PaddlePaddle/book,Jupyter Notebook,404-NotFound,2532,50,0,107,6,1.1,0,41,31,1.0,52,0.48425
Kodein-DI,https://github.com/Kodein-Framework/Kodein-DI,Kotlin,"License(name=""MIT License"")",2486,70,0,43,7,2.3,3,37,31,1.2,10,0.48171
amplication,https://github.com/amplication/amplication,TypeScript,"License(name=""Apache License 2.0"")",1723,11,0,18,1,71.6,13,532,470,0.2,164,0.48153
revive,https://github.com/mgechev/revive,Go,"License(name=""MIT License"")",2486,43,0,33,7,3.0,1,24,19,0.5,176,0.48119
ROPgadget,https://github.com/JonathanSalwan/ROPgadget,Python,"License(name=""Other"")",2554,115,0,51,5,0.6,5,4,4,1.0,66,0.48069
react-native-permissions,https://github.com/zoontek/react-native-permissions,Objective-C,"License(name=""MIT License"")",2448,59,2,92,8,2.2,11,53,45,2.7,0,0.48017
wikiextractor,https://github.com/attardi/wikiextractor,Python,"License(name=""GNU Affero General Public License v3.0"")",2495,71,1,29,11,0.5,2,30,18,1.5,46,0.47799
rainmeter,https://github.com/rainmeter/rainmeter,C++,"License(name=""GNU General Public License v2.0"")",2482,145,1,54,3,1.3,20,10,5,0.9,60,0.47776
jotai,https://github.com/pmndrs/jotai,TypeScript,"License(name=""MIT License"")",2538,5,0,23,7,6.4,97,136,120,3.4,2,0.47634
zeal,https://github.com/zealdocs/zeal,C++,"License(name=""GNU General Public License v3.0"")",8469,97,2,61,4,1.7,1,38,17,1.1,136,0.47275
source-map,https://github.com/mozilla/source-map,JavaScript,"License(name=""Other"")",2488,116,15,84,6,0.0,5,8,2,1.1,769,0.47241
fullstack-course4,https://github.com/jhu-ep-coursera/fullstack-course4,JavaScript,404-NotFound,4635,60,0,21,5,0.1,0,19,16,0.7,1668,0.47159
parse5,https://github.com/inikulin/parse5,JavaScript,"License(name=""MIT License"")",2564,95,4,28,9,0.2,6,4,0,3.5,79,0.46983
octopus,https://github.com/thiagopradi/octopus,Ruby,404-NotFound,2478,130,2,89,10,0.0,5,16,4,0.9,11,0.4671
joda-time-android,https://github.com/dlew/joda-time-android,Java,"License(name=""Apache License 2.0"")",2531,85,0,19,4,0.7,8,17,16,1.3,52,0.4653
laravel-wechat,https://github.com/overtrue/laravel-wechat,PHP,"License(name=""MIT License"")",2564,71,2,30,6,0.3,10,12,6,1.1,117,0.46374
kimchi,https://github.com/kimchi-project/kimchi,JavaScript,"License(name=""Other"")",2572,95,4,90,3,0.2,3,13,4,1.2,365,0.4616
FreeSql,https://github.com/dotnetcore/FreeSql,C#,"License(name=""MIT License"")",2580,25,0,14,1,13.5,20,182,131,2.9,10,0.45906
typescript-tutorial,https://github.com/xcatliu/typescript-tutorial,TypeScript,404-NotFound,7434,57,0,41,8,1.8,0,37,9,4.1,2,0.45805
esp-homekit-devices,https://github.com/RavenSystem/esp-homekit-devices,C,"License(name=""Other"")",1046,36,0,4,2,3.9,178,177,138,3.2,15,0.4533
privacytools.io,https://github.com/privacytools/privacytools.io,HTML,"License(name=""Creative Commons Zero v1.0 Universal"")",2593,67,0,211,2,4.1,0,157,85,2.6,0,0.45321
serverless-chrome,https://github.com/adieuadieu/serverless-chrome,JavaScript,"License(name=""MIT License"")",2448,47,0,24,9,1.0,1,104,93,0.3,22,0.45191
facebook-sdk,https://github.com/mobolic/facebook-sdk,Python,"License(name=""Apache License 2.0"")",2570,131,1,99,6,0.2,1,12,9,1.2,12,0.45187
message_bus,https://github.com/discourse/message_bus,Ruby,"License(name=""MIT License"")",1470,93,1,44,9,1.0,8,3,3,0.0,44,0.451
typefaces,https://github.com/KyleAMathews/typefaces,CSS,404-NotFound,2549,51,1,8,5,0.5,19,8,0,0.4,1629,0.45098
core,https://github.com/elm/core,Elm,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",2510,76,11,106,6,0.1,1,13,1,1.3,416,0.45069
connect-redis,https://github.com/tj/connect-redis,JavaScript,"License(name=""MIT License"")",2447,128,3,55,9,0.2,2,6,6,0.8,37,0.44757
platform_development,https://github.com/aosp-mirror/platform_development,Python,404-NotFound,2555,149,0,704,1,5.0,85,0,0,0,3,0.44702
